1788,4.0
1789,13.5666666667
1790,3.7
1791,6.7
1792,7.3
1793,14.8
1794,9.9
1795,5.5
1796,5.1
1797,28.7
1798,6.2
1799,8.5
1800,8.5
1801,32.0
1802,7.64333333333
1803,24.6
1804,5.5
1805,10.3
1806,3.76666666667
1807,3.7
1808,7.01666666667
1809,5.5
1810,8.0
1811,5.46666666667
1812,7.6
1814,4.66666666667
1815,11.1333333333
1816,4.0
1817,7.7
1818,5.0
1819,10.7
1820,4.36666666667
1821,17.2
1822,9.0
1823,6.2
1824,10.6
1825,11.7
1826,5.9
1827,7.7
1828,5.12
1829,33.4
1830,4.4
1831,8.7
1832,7.8
1833,5.4
1834,18.6333333333
1835,5.0
1836,16.2
1837,6.3
1838,3.9
1839,3.1
1840,7.0
1841,5.2
1842,11.5
1843,8.9
1844,11.0
1845,18.0
1846,6.0
1847,8.43333333333
1848,7.0
1849,7.9
1850,16.5
1851,12.7
1852,11.95
1853,8.2
1854,26.4
1855,15.55
1856,5.7
1857,6.10666666667
1858,5.1
1859,8.4
1860,9.9
1861,9.8
1862,26.8
1863,6.5
1864,18.25
1865,8.5
1866,4.3
1867,31.5
1868,14.7
1869,3.8
1870,9.56666666667
1871,5.3
1872,12.94
1873,20.8
1874,5.4
1875,8.9
1876,16.8
1877,15.3
1878,3.5
1879,10.5
1880,11.8
1881,8.125
1882,8.57428571429
1883,5.7
1884,4.1
1885,4.0
1886,9.9
1887,5.9
1888,7.7
1889,4.8
1890,6.8
1891,23.75
1892,7.2
1893,11.5
1894,4.56666666667
1895,6.2
1896,10.2583333333
1897,11.4
1898,8.0
1899,7.7
1900,7.675
1901,5.4
1902,21.9
1903,13.3
1904,9.9
1905,13.5
1906,5.675
1907,4.23333333333
1908,36.2
1909,9.9
1910,12.2
1911,13.2
1912,10.1
1913,7.7
1914,5.26666666667
1915,4.4
1916,3.0
1917,8.1
1918,3.95666666667
1919,12.9
1920,10.0
1921,15.7666666667
1922,18.65
1923,11.4133333333
1924,7.6
1925,8.3
1926,5.02
1927,18.6083333333
1929,3.975
1930,8.1
1931,4.3
1932,4.2
1933,7.1
1934,7.2
1935,11.6333333333
1936,4.3
1937,8.0
1938,5.9
1939,11.2
1940,18.8
1941,9.5
1942,3.25
1943,7.0
1944,12.3666666667
1945,2.83333333333
1946,4.7
1947,6.10555555556
1948,11.2
1949,26.3
1950,9.1
1951,25.45
1952,4.15
1953,6.99166666667
1954,7.11
1955,12.15
1956,7.4
1957,4.325
1958,16.6666666667
1959,28.0
1960,6.29
1961,9.7
1962,3.55
1963,5.3
1964,20.2
1965,8.3
1966,8.9
1967,9.6
1968,16.1
1969,8.8
1970,3.0
1971,14.3
1972,8.18571428571
1973,11.2
1974,8.9
1975,4.8
1976,2.8
1977,24.6
1978,7.4
1979,17.0
1980,7.7
1981,7.2
1982,20.4
1983,9.2
1984,11.7
1985,4.9
1986,9.9
1987,1.0
1988,6.525
1989,6.0
1990,4.78333333333
1991,5.2
1992,6.4
1993,7.8
1994,7.8
1995,9.2
1996,15.1
1997,4.4
1998,14.9
1999,7.0
2000,17.2
2001,12.6
2002,9.15
2003,8.9
2004,26.0
2005,5.4
2006,4.98
2007,11.8
2008,3.20333333333
2009,2.69166666667
2010,25.5328571429
2011,6.0
2012,9.7
2013,5.1
2014,4.4
2015,4.35
2016,8.0
2017,22.8
2019,3.0
2020,8.1
2021,3.9
2022,11.9
2023,8.9
2024,12.5
2025,13.3
2026,9.6
2027,3.31666666667
2028,3.20976190476
2029,7.01666666667
2030,12.5
2031,13.5
2032,18.1
2033,7.4
2034,10.6
2035,6.4
2036,7.0
2037,9.825
2038,10.5
2039,8.65
2040,13.8
2041,5.2
2042,8.6
2043,8.5
2044,11.7
2045,2.68333333333
2046,6.45
2047,13.4
2048,3.0
2049,5.4
2050,4.13833333333
2051,11.5
2052,22.0
2053,8.7
2054,23.0
2055,9.3
2056,24.9
2057,32.2
2058,15.4
2059,8.5
2060,11.925
2061,21.6
2062,3.0
2063,5.6
2064,12.0
2065,8.8
2066,11.9
2067,7.5
2068,13.4
2069,5.55
2070,10.4
2071,8.3
2072,11.9
2073,6.3
2074,14.9
2075,11.7166666667
2076,3.10833333333
2077,5.36333333333
2078,5.83333333333
2079,3.88
2080,5.1
2081,4.2
2082,16.9
2083,11.9133333333
2084,3.4
2085,9.4
2086,6.7
2087,16.3
2088,26.6
2089,8.8
2090,4.9
2092,5.6
2093,13.6
2094,3.0
2095,4.6
2096,3.8
2097,20.2
2098,4.6
2099,11.5
2100,7.2
2101,17.9
2102,8.0
2103,5.7
2104,16.0
2105,22.9
2106,7.4
2107,4.2
2108,4.0
2109,11.14
2110,18.9
2111,9.7
2112,6.475
2113,13.3
2114,13.6
2115,9.1
2116,5.39166666667
2117,7.1
2118,3.7
2119,7.3
2120,6.4
2121,4.1
2122,6.0
2123,7.6
2124,18.5
2125,5.706497114
2126,7.2
2127,8.8
2128,14.0
2129,12.0
2130,11.6
2131,7.925
2132,9.4
2133,30.7
2134,7.2
2135,6.3
2136,30.3
2137,5.7
2138,12.925
2139,4.0
2140,2.9
2141,9.8
2142,8.7
2143,1.72666666667
2144,19.2
2145,4.0
2146,12.0
2147,8.8
2148,14.2
2149,27.4
2150,12.14
2151,10.3
2152,10.8
2153,4.94166666667
2154,9.7
2155,8.6
2156,10.3
2157,6.3
2158,10.3
2159,4.86666666667
2160,6.83333333333
2161,4.3
2162,7.3
2163,3.9
2164,21.4
2165,7.6
2166,6.0
2167,25.4
2168,18.9
2169,2.83333333333
2170,15.2
2171,3.0
